gene	DiffLevene	Adj.P.Value	trait	tissue	hgnc_symbol	chromosome_name
ENSG00000000003	-0.145229514842305	0.0421107991936968	Ancestry	ColonTransverse	TSPAN6	X
ENSG00000000003	-2.74835475032513	0.00491362340591073	Sex	Lung	TSPAN6	X
ENSG00000000005	27.5487380395024	2.74357510130044e-05	Sex	MuscleSkeletal	TNMD	X
ENSG00000000005	-5.67838917451121	0.0166362503220944	Sex	BreastMammaryTissue	TNMD	X
ENSG00000000419	-0.132899771671858	4.20661792715143e-06	Ancestry	WholeBlood	DPM1	20
ENSG00000000419	-1.34662892915967	0.0130762758760346	Age	Testis	DPM1	20
ENSG00000000457	-1.12185811915505	0.0175335144276752	Sex	WholeBlood	SCYL3	1
ENSG00000000457	0.159083810396252	0.044965692396479	Age	WholeBlood	SCYL3	1
ENSG00000000457	-0.0506297126922178	0.0382697550273395	Ancestry	ColonTransverse	SCYL3	1
ENSG00000000457	-1.75623387001891	0.0394083479236376	Sex	ColonTransverse	SCYL3	1
ENSG00000000457	-0.116179413571976	3.59709121397002e-08	Ancestry	WholeBlood	SCYL3	1
ENSG00000000460	-5.11149368547531	0.00040628286832459	Sex	MuscleSkeletal	FIRRM	1
ENSG00000000938	-2.83669453512844	0.0278424715535102	Sex	Lung	FGR	1
ENSG00000000938	-4.14794792016786	0.00283435836798941	Sex	BreastMammaryTissue	FGR	1
ENSG00000000971	2.50598825281269	0.046684499849931	Sex	WholeBlood	CFH	1
ENSG00000000971	-0.234523590505238	4.20839298360865e-05	Ancestry	WholeBlood	CFH	1
ENSG00000001036	-1.6346944830291	0.00673302998602626	Sex	BreastMammaryTissue	FUCA2	6
ENSG00000001036	-0.113745630086194	4.77007418796486e-05	Ancestry	ColonTransverse	FUCA2	6
ENSG00000001084	-2.30906620438758	0.00700413601072699	Sex	BreastMammaryTissue	GCLC	6
ENSG00000001167	-2.37863304185775	0.0275401544028645	Sex	MuscleSkeletal	NFYA	6
ENSG00000001167	-1.28856171907407	0.0335637081653924	Sex	BreastMammaryTissue	NFYA	6
ENSG00000001167	-2.42179551938614	0.00447602427936295	Sex	ColonTransverse	NFYA	6
ENSG00000001167	-2.47775674422986	6.71132341753679e-06	Sex	WholeBlood	NFYA	6
ENSG00000001497	-2.22615528382586	0.000116360730144488	Sex	MuscleSkeletal	LAS1L	X
ENSG00000001497	-0.861163497438385	0.0229114814092817	Sex	BreastMammaryTissue	LAS1L	X
ENSG00000001497	-3.37461851439386	0.000137233118253426	Sex	ColonTransverse	LAS1L	X
ENSG00000001561	-0.185950873264228	0.0188306151339147	Ancestry	Prostate	ENPP4	6
ENSG00000001626	-0.892250250187833	1.71587248477981e-17	Ancestry	ColonTransverse	CFTR	7
ENSG00000001626	-0.837433665566502	0.00896859178647531	Age	ColonTransverse	CFTR	7
ENSG00000001626	-0.225839282210443	0.00330726401695284	Ancestry	Lung	CFTR	7
ENSG00000001626	16.4628149367848	0.000164687965251268	Sex	ColonTransverse	CFTR	7
ENSG00000001629	-1.2226440749699	0.0289502174978887	Age	Testis	ANKIB1	7
ENSG00000001631	-0.136919119363658	3.50000935723467e-11	Ancestry	WholeBlood	KRIT1	7
ENSG00000002330	-3.45434123042096	0.00793542709706285	Sex	MuscleSkeletal	BAD	11
ENSG00000002330	-1.73969914855175	0.000144347132413566	Sex	WholeBlood	BAD	11
ENSG00000002587	-3.25723706634347	0.036265707472099	Sex	Lung	HS3ST1	4
ENSG00000002726	-1.00669366235395	0.00780362873220988	Age	ColonTransverse	AOC1	7
ENSG00000002726	16.2723428262093	0.0143489566067727	Age	Prostate	AOC1	7
ENSG00000002726	-1.17543441414257	6.09227292094926e-21	Ancestry	ColonTransverse	AOC1	7
ENSG00000002745	-0.458202745155251	0.0358319760586727	Age	ColonTransverse	WNT16	7
