deg	cis_driven	Class	Tissue	Trait	gene
IGSF21	0	Not_cis-driven	Lung	Age	IGSF21
E2F2	0	Not_cis-driven	Lung	Age	E2F2
MANEAL	1	Cis-driven	Lung	Age	MANEAL
SMAP2	0	Not_cis-driven	Lung	Age	SMAP2
FOXD2	3	Cis-driven	Lung	Age	FOXD2
TRABD2B	0	Not_cis-driven	Lung	Age	TRABD2B
IQGAP3	0	Not_cis-driven	Lung	Age	IQGAP3
HAPLN2	0	Not_cis-driven	Lung	Age	HAPLN2
RGS5	0	Not_cis-driven	Lung	Age	RGS5
COLGALT2	0	Not_cis-driven	Lung	Age	COLGALT2
IVNS1ABP	0	Not_cis-driven	Lung	Age	IVNS1ABP
PRG4	0	Not_cis-driven	Lung	Age	PRG4
LMOD1	0	Not_cis-driven	Lung	Age	LMOD1
PPP1R15B	0	Not_cis-driven	Lung	Age	PPP1R15B
NFASC	1	Cis-driven	Lung	Age	NFASC
TRIB2	1	Cis-driven	Lung	Age	TRIB2
KLHL29	0	Not_cis-driven	Lung	Age	KLHL29
MSH6	1	Cis-driven	Lung	Age	MSH6
ATOH8	0	Not_cis-driven	Lung	Age	ATOH8
LIMS1	0	Not_cis-driven	Lung	Age	LIMS1
MERTK	0	Not_cis-driven	Lung	Age	MERTK
HS6ST1	0	Not_cis-driven	Lung	Age	HS6ST1
SLC38A11	0	Not_cis-driven	Lung	Age	SLC38A11
CERS6	0	Not_cis-driven	Lung	Age	CERS6
PDE1A	0	Not_cis-driven	Lung	Age	PDE1A
TTLL4	0	Not_cis-driven	Lung	Age	TTLL4
EFHD1	1	Cis-driven	Lung	Age	EFHD1
HJURP	0	Not_cis-driven	Lung	Age	HJURP
RAMP1	0	Not_cis-driven	Lung	Age	RAMP1
GPC1	0	Not_cis-driven	Lung	Age	GPC1
KIF15	1	Cis-driven	Lung	Age	KIF15
PTH1R	1	Cis-driven	Lung	Age	PTH1R
ITIH3	0	Not_cis-driven	Lung	Age	ITIH3
FAM107A	0	Not_cis-driven	Lung	Age	FAM107A
ROBO2	0	Not_cis-driven	Lung	Age	ROBO2
PHLDB2	2	Cis-driven	Lung	Age	PHLDB2
ITGB5	0	Not_cis-driven	Lung	Age	ITGB5
ST6GAL1	0	Not_cis-driven	Lung	Age	ST6GAL1
