TF	tissue	variable	methylation	direction	p_value	odds_ratio	CI_low	CI_high	adj_p_val
MECP2	ColonTransverse	AGE	Hyper	Enriched	2.08468930626235e-12	1.46471388051265	1.32081857383636	1.62063362365489	1.78904245919241e-10
CDT1	ColonTransverse	AGE	Hyper	Enriched	4.44142862594978e-08	1.29129940187437	1.17999261951316	1.41068161805273	2.06198784732619e-06
LCOR	ColonTransverse	AGE	Hyper	Enriched	1.01579010742435e-06	34.0682672323596	8.08454127080639	164.383990937577	3.78515471608652e-05
MEAF6	ColonTransverse	AGE	Hyper	Enriched	2.50431987324787e-06	1.23776678990104	1.13363810171772	1.34928759647915	8.44313557266425e-05
ATF6	ColonTransverse	AGE	Hyper	Enriched	4.15354100112832e-06	22.7306594178412	6.07623875715119	85.0595198998283	0.000136777071106923
MYNN	ColonTransverse	AGE	Hyper	Enriched	1.45237893108962e-05	28.4119158168666	6.11459131750953	143.133047126416	0.000437567780089979
DOT1L	ColonTransverse	AGE	Hyper	Enriched	1.78287440191166e-05	1.18941111101138	1.09911327511088	1.28545846350411	0.000526609797078062
MYBL1	ColonTransverse	AGE	Hyper	Enriched	2.01600714097473e-05	15.158779442547	4.43801484864885	47.6892534303166	0.000582584920738821
MEOX2	ColonTransverse	AGE	Hyper	Enriched	4.63407188841959e-05	12.3995219235243	3.76503158455671	36.5645954657086	0.00122651323252376
MXI1	ColonTransverse	AGE	Hyper	Enriched	8.20555565946332e-05	16.2353315640721	4.06288729952738	59.4205904192701	0.00202070727196523
TSHZ1	ColonTransverse	AGE	Hyper	Enriched	0.00012869251189377	14.2023604961731	3.65632290027952	49.2857381892264	0.00303714328069296
GZF1	ColonTransverse	AGE	Hyper	Enriched	0.000279747228742948	11.364080848495	3.04770549393288	36.4863946219979	0.00591226978955245
AFF1	ColonTransverse	AGE	Hyper	Enriched	0.000335056114022355	18.1830847085345	3.60784177294936	84.6917322111807	0.00677770653508078
MCM2	ColonTransverse	AGE	Hyper	Enriched	0.000425230370776556	1.16243413477338	1.06880467268037	1.26235718257599	0.00848065077492399
CBX8	ColonTransverse	AGE	Hyper	Enriched	0.000537114048714555	9.47081964511689	2.61348075518969	28.8887274785717	0.0102777499051326
ZNF395	ColonTransverse	AGE	Hyper	Enriched	0.000940584865911054	8.11890886154856	2.28822497175405	23.8668904355332	0.0163419407377921
LARP7	ColonTransverse	AGE	Hyper	Enriched	0.00149311939982658	1.2799422691651	1.09726010713115	1.48531597310109	0.0250207937296384
HNRNPK	ColonTransverse	AGE	Hyper	Enriched	0.00153420999359418	7.10288948471463	2.03489401125608	20.288586162984	0.0255581335403455
RNF2	ColonTransverse	AGE	Hyper	Enriched	0.00171725296727161	3.08698570579863	1.48234164814601	5.82106124693885	0.0277900594475039
ZNF266	ColonTransverse	AGE	Hyper	Enriched	0.0019169477492386	6.68511751705757	1.92827965021647	18.8727658744583	0.0304988540777737
EP300	ColonTransverse	AGE	Hypo	Enriched	0.000748530615725021	1.32217092565826	1.12318890729796	1.54716805811631	0.0135021573486195
SIRT1	ColonTransverse	AGE	Hypo	Enriched	0.00201964305909809	1.97576524824593	1.27429488327197	2.94000884495277	0.0312976580728019
EZH2	Lung	AGE	Hyper	Enriched	2.73250866016927e-316	4.54470896823109	4.25391066830881	4.85127742851698	3.29391498467038e-314
MYOCD	Lung	AGE	Hyper	Enriched	1.8961286017127e-220	2.4438103504846	2.32358362747717	2.56954349086348	1.25713326293552e-218
RNF2	Lung	AGE	Hyper	Enriched	9.20995527235757e-115	4.13019106025114	3.72127323945412	4.57348108716021	1.90818760799158e-113
KDM2B	Lung	AGE	Hyper	Enriched	4.50607459433824e-96	2.24834946582574	2.09679341451299	2.40847334269605	7.56336064821837e-95
ASCL1	Lung	AGE	Hyper	Enriched	1.01174072115108e-52	1.51720113554348	1.44109023496525	1.59651033298857	8.82610655425217e-52
EHMT2	Lung	AGE	Hyper	Enriched	9.84153016098268e-39	13.8151064117941	10.0232254674521	18.7440469799932	6.33488786090438e-38
MAX	Lung	AGE	Hyper	Enriched	1.05637838117093e-31	1.27545155733687	1.22521391253211	1.32749160336257	6.17073891380023e-31
LMNB1	Lung	AGE	Hyper	Enriched	5.8734034010599e-23	1.48888738631832	1.37960670725303	1.60492957574481	2.80148665820339e-22
E2F6	Lung	AGE	Hyper	Enriched	1.19545481538824e-20	1.43490558645514	1.33306819806011	1.5428336678378	5.42867494933151e-20
SUMO2	Lung	AGE	Hyper	Enriched	7.00879472108486e-17	1.89227422463951	1.64228623420435	2.17043927427821	2.96922102241486e-16
PCGF2	Lung	AGE	Hyper	Enriched	6.21477758895085e-16	14.4700239574698	8.37913024472367	23.8954003140201	2.55925313135057e-15
ZHX3	Lung	AGE	Hyper	Enriched	1.44792527307691e-12	2.93373321493765	2.22840379297773	3.79882640713928	5.54898529508664e-12
HOXB13	Lung	AGE	Hyper	Enriched	1.39731080042753e-11	2.2141436475098	1.78306545039324	2.72041917533558	5.11832630211853e-11
CBX8	Lung	AGE	Hyper	Enriched	2.85617030581702e-10	6.13822554139438	3.71356170689722	9.65749864435819	9.88846429637954e-10
HOXB5	Lung	AGE	Hyper	Enriched	2.18667239895819e-09	1.87063795259726	1.53573578471372	2.25847332463158	7.30359597233894e-09
BRD4	Lung	AGE	Hyper	Enriched	1.63039681540839e-07	1.1088602969985	1.0668518312904	1.15237899065776	5.07489712965147e-07
ZNF624	Lung	AGE	Hyper	Enriched	1.90051049688571e-07	2.45241056407182	1.78332820631575	3.29669950599041	5.87430517219218e-07
ZSCAN20	Lung	AGE	Hyper	Enriched	7.77510385211589e-07	3.47827971179575	2.17699041350546	5.30136184430156	2.3272658482857e-06
RYBP	Lung	AGE	Hyper	Enriched	1.09055927252162e-06	2.67920680119595	1.82880202139477	3.80081967395066	3.24962156261498e-06
CREB1	Lung	AGE	Hyper	Enriched	4.61899225537206e-06	1.12178237578227	1.06804964350761	1.17782891316326	1.3171577915319e-05
ATOH8	Lung	AGE	Hyper	Enriched	4.74272288070341e-06	2.05047502651533	1.51843426717821	2.71309828512849	1.3466489378614e-05
HEYL	Lung	AGE	Hyper	Enriched	1.3928364775938e-05	3.42930042368044	2.00386764763424	5.51812947216854	3.87191020815384e-05
MYC	Lung	AGE	Hyper	Enriched	1.57784037807124e-05	1.10455307405049	1.05581388225137	1.155121301732	4.37702163456582e-05
KDM1A	Lung	AGE	Hyper	Enriched	0.000494397124699218	1.2496165493995	1.10215578094712	1.41178645404244	0.00123227554013377
SUMO1	Lung	AGE	Hyper	Enriched	0.000527537672393992	1.19244120841812	1.0794658081709	1.31435811083793	0.00130750458615782
ZNF302	Lung	AGE	Hyper	Enriched	0.000972809178686121	2.39129321859383	1.42577753892609	3.78013818168413	0.00234109795088529
NR2E3	Lung	AGE	Hyper	Enriched	0.00214599095221088	1.59643719458708	1.17966229254004	2.1154854551026	0.00489773494428852
TFCP2L1	Lung	AGE	Hyper	Enriched	0.00233835933484571	1.80606878845356	1.21981399938639	2.58203282094549	0.00529123631058945
CRTC2	Lung	AGE	Hyper	Enriched	0.00286637024466472	1.07976660197666	1.02641518137983	1.13533645378424	0.0063879108309671
PIAS4	Lung	AGE	Hyper	Enriched	0.00512460986534431	6.26135166066527	1.61864863024539	17.4652659619022	0.0110312218854652
SUZ12	Lung	AGE	Hyper	Enriched	0.00589531945917801	3.88679569387276	1.38812015303043	8.80924712317115	0.0125880734345733
