RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
RNAcentral:URS0000170CF4_9606	URS0000170CF4_9606	Homo sapiens (human) hsa-miR-221-3p
RNAcentral:URS00000DF6D0_9606	URS00000DF6D0_9606	Homo sapiens (human) hsa-miR-135a-5p
RNAcentral:URS0000574A2C_9606	URS0000574A2C_9606	Homo sapiens (human) hsa-miR-20a-5p
RNAcentral:URS00000B7E30_9606	URS00000B7E30_9606	Homo sapiens (human) hsa-miR-223-3p
RNAcentral:URS0000324096_9606	URS0000324096_9606	Homo sapiens (human) hsa-let-7b-5p
RNAcentral:URS000050B527_9606	URS000050B527_9606	Homo sapiens (human) hsa-miR-146a-5p
RNAcentral:URS00007E4AF8_9606	URS00007E4AF8_9606	Homo sapiens (human) myocardial infarction associated transcript (MIAT)
RNAcentral:URS0000CCE0E6_9606	URS0000CCE0E6_9606	Homo sapiens (human) growth arrest specific 5 (GAS5)
RNAcentral:URS000024B619_9606	URS000024B619_9606	Homo sapiens (human) hsa-miR-758-3p
RNAcentral:URS00004023EA_9606	URS00004023EA_9606	Homo sapiens (human) hsa-let-7i-5p
ComplexPortal:CPX-2127	sting_human-1	Sting complex
ComplexPortal:CPX-6181	colec-masp1_human	CL-LK-MASP1 lectin-protease complex
ComplexPortal:CPX-6178	fcn2-masp1_human	FCN2-MASP1 lectin-protease complex
ComplexPortal:CPX-6172	fcn1-masp1_human	FCN1-MASP1 lectin-protease complex
ComplexPortal:CPX-6239	fcn3-masp2_human	FCN3-MASP2 lectin-protease complex
ComplexPortal:CPX-3624	alt-cbc_human	Alternative nuclear cap-binding complex
ComplexPortal:CPX-6170	mbl2-masp1_human	MBL2-MASP1 lectin-protease complex
ComplexPortal:CPX-6179	fcn3-masp1_human	FCN3-MASP1 lectin-protease complex
ComplexPortal:CPX-1826	intg_am_b2_human	Integrin alphaM-beta2 complex
ComplexPortal:CPX-1180	abeta-40-oligomer_human	Amyloid-beta protein 40 oligomeric complex
ComplexPortal:CPX-1134	abeta-42-oligomer_human	Amyloid-beta protein 42 oligomeric complex
ComplexPortal:CPX-1120	abeta-40-42-oligomer_human	Amyloid-beta protein 40/42 oligomeric complex
ComplexPortal:CPX-6240	colec-masp2_human	CL-LK-MASP2 lectin-protease complex
ComplexPortal:CPX-6238	fcn2-masp2_human	FCN2-MASP2 lectin-protease complex
ComplexPortal:CPX-6237	fcn1-masp2_human	FCN1-MASP2 lectin-protease complex
ComplexPortal:CPX-6203	mbl2-masp2_human	MBL2-MASP2 lectin-protease complex
ComplexPortal:CPX-6085	dermcidin_human	Dermcidin antimicrobial peptide complex
ComplexPortal:CPX-362	hpse_human-1	Heparanase complex
UniProtKB:P00451	F8	Coagulation factor VIII
UniProtKB:Q16394	EXT1	Exostosin-1
UniProtKB:P39019	RPS19	Small ribosomal subunit protein eS19
