"gene"	"probe"	"cor"	"p.val"	"p.adj"	"class"	"Trait"	"Tissue"
"C21orf33"	"cg15092561"	0.26234023328848	0.00256771841425287	0.0483099934858201	"promoter"	"Ancestry"	"Lung"
"XRRA1"	"cg13987042"	-0.261127694505244	0.00269268810786087	0.048964407435049	"promoter"	"Ancestry"	"Lung"
"SCAMP5"	"cg18919684"	-0.291503229829876	0.000765615519796708	0.0176346774726508	"promoter"	"Ancestry"	"Lung"
"S100P"	"cg02104700"	-0.360649476129854	2.49698586065253e-05	0.00107838576856931	"promoter"	"Ancestry"	"Lung"
"NMRAL1"	"cg08322289"	-0.364950570288056	1.96274596860774e-05	0.000968755331648537	"promoter"	"Ancestry"	"Lung"
"PRH1"	"cg26983578"	0.387472703401595	5.25316886421624e-06	0.000365919545533052	"promoter"	"Ancestry"	"Lung"
"SETD9"	"cg24531977"	-0.553094620633766	8.86894557828574e-12	6.12844139459545e-09	"promoter"	"Ancestry"	"Lung"
"SETD9"	"cg12311346"	-0.542290072814953	2.66673681081598e-11	9.21357568136921e-09	"promoter"	"Ancestry"	"Lung"
"UHRF1BP1"	"cg04869116"	0.280252692802311	0.00124014620135859	0.026779407035587	"promoter"	"Ancestry"	"Lung"
"FYCO1"	"cg16042668"	-0.29627427646443	0.000620259334649316	0.0158740444534325	"promoter"	"Ancestry"	"Lung"
"GYPC"	"cg24064594"	-0.26215181713164	0.00258678691602799	0.0483099934858201	"promoter"	"Ancestry"	"Lung"
"MRPS10"	"cg01092361"	-0.274384396711224	0.00158252594458832	0.0331371341730462	"promoter"	"Ancestry"	"Lung"
"ARHGEF19"	"cg06365898"	0.284413236900184	0.00103994611831141	0.023180734443651	"promoter"	"Ancestry"	"Lung"
"STX2"	"cg11011512"	0.435622386091358	2.2189855253734e-07	1.91664874754127e-05	"promoter"	"Ancestry"	"Lung"
"SERPINB9P1"	"cg01410116"	-0.337992217014463	8.39370710663049e-05	0.00305265874246404	"promoter"	"Ancestry"	"Lung"
"ADAL"	"cg27252086"	-0.352886296972153	3.82266362735988e-05	0.00155380033323863	"promoter"	"Ancestry"	"Lung"
"ADAL"	"cg23971107"	-0.437560631126175	1.93304549789625e-07	1.90819205578044e-05	"promoter"	"Ancestry"	"Lung"
"SNX19"	"cg20527237"	0.317979635388523	0.000227207233208506	0.0074761999117656	"promoter"	"Ancestry"	"Lung"
"LY75"	"cg24478096"	-0.308190774754102	0.000360798552710745	0.009972471996925	"promoter"	"Ancestry"	"Lung"
"ADAL"	"cg02155558"	-0.474120546345858	1.21220344052249e-08	1.67526515480209e-06	"promoter"	"Ancestry"	"Lung"
"SETD9"	"cg20203395"	-0.482823447675878	5.96938984766986e-09	1.03121209618497e-06	"promoter"	"Ancestry"	"Lung"
"CNIH4"	"cg02134819"	-0.266128655689056	0.00221030331290686	0.0436377025491039	"promoter"	"Ancestry"	"Lung"
"PCGF3"	"cg07416975"	0.270495958328202	0.00185460059684969	0.0376920297771511	"promoter"	"Ancestry"	"Lung"
"PGAP3"	"cg05616858"	-0.315536855137527	0.000255380895271206	0.00802128175601834	"promoter"	"Ancestry"	"Lung"
"UHRF1BP1"	"cg07306190"	-0.367722568567435	1.67758663777796e-05	0.000891701820541979	"promoter"	"Ancestry"	"Lung"
"ADAL"	"cg23340666"	-0.313561180865626	0.000280499042870596	0.00808686756614257	"promoter"	"Ancestry"	"Lung"
"LY75"	"cg02280532"	-0.375755417634778	1.05569674402662e-05	0.000607905375101996	"promoter"	"Ancestry"	"Lung"
"HEATR3"	"cg01561092"	-0.492785505221517	2.58860273443579e-09	5.96241496498377e-07	"promoter"	"Ancestry"	"Lung"
"SRP14-AS1"	"cg09159619"	0.295051237700766	0.000654881425368483	0.0161615380332008	"promoter"	"Ancestry"	"Lung"
"ACCS"	"cg20240860"	-0.444531071072111	1.16862991177935e-07	1.34587211506588e-05	"promoter"	"Ancestry"	"Lung"
"CCDC88C"	"cg05725907"	-0.361338463015996	2.40308218610045e-05	0.00107838576856931	"promoter"	"Ancestry"	"Lung"
"FYCO1"	"cg12609415"	-0.331653614909473	0.000115921577401202	0.00400509049921152	"promoter"	"Ancestry"	"Lung"
"LIPT1"	"cg15496985"	0.31353285288686	0.000280875284496992	0.00808686756614257	"promoter"	"Ancestry"	"Lung"
"SETD9"	"cg14703610"	0.298735837298318	0.000555624417769781	0.0147667874107276	"promoter"	"Ancestry"	"Lung"
"HEATR3"	"cg16450200"	-0.387340469454787	5.29550717124532e-06	0.000365919545533052	"promoter"	"Ancestry"	"Lung"
"PYROXD2"	"cg26618903"	-0.383324548721039	6.74631873357304e-06	0.000423791476808997	"promoter"	"Ancestry"	"Lung"
"ARL17A"	"cg05159804"	-0.349606295419296	4.5611392839149e-05	0.00175097069176955	"promoter"	"Ancestry"	"Lung"
"ARL17A"	"cg17911788"	-0.294142741687353	0.000681739313945555	0.0162442022736682	"promoter"	"Ancestry"	"Lung"
"ENPP4"	"cg26552158"	-0.337445486639091	8.63311457044949e-05	0.0025467687982826	"enhancer"	"Ancestry"	"Lung"
"ARHGAP18"	"cg27536168"	-0.264291443945531	0.00237758691899418	0.0323717603586131	"enhancer"	"Ancestry"	"Lung"
"HDDC2"	"cg23468313"	-0.503155192424389	1.05390124712347e-09	9.32702603704271e-08	"enhancer"	"Ancestry"	"Lung"
"MXRA7"	"cg25130349"	-0.312874331697348	0.00028975430619595	0.00569850135518702	"enhancer"	"Ancestry"	"Lung"
"MXRA7"	"cg17185586"	-0.414628710813421	9.36956594966927e-07	3.31682634618292e-05	"enhancer"	"Ancestry"	"Lung"
"NEFH"	"cg04265295"	0.254711015234802	0.00345011491990479	0.0436193100587963	"enhancer"	"Ancestry"	"Lung"
"TOP1MT"	"cg25653947"	0.281615191755909	0.00117101164632263	0.0188426419453732	"enhancer"	"Ancestry"	"Lung"
"CCDC88C"	"cg09003057"	-0.264689623546181	0.00234038875034854	0.0323717603586131	"enhancer"	"Ancestry"	"Lung"
"LURAP1"	"cg27048324"	0.322409508897316	0.000183337383640144	0.00405633961303818	"enhancer"	"Ancestry"	"Lung"
"GNLY"	"cg19805943"	-0.326629021182072	0.000148992326921813	0.0037673774093087	"enhancer"	"Ancestry"	"Lung"
"MRPL23"	"cg27617775"	0.550372945296763	1.1746865822798e-11	2.07919525063524e-09	"enhancer"	"Ancestry"	"Lung"
"MAG"	"cg10931539"	-0.436593662400768	2.07099129436893e-07	9.16413647758251e-06	"enhancer"	"Ancestry"	"Lung"
"LINC01252"	"cg11775853"	0.297973893306668	0.000574936294320753	0.0101763724094773	"enhancer"	"Ancestry"	"Lung"
"D2HGDH"	"cg00263240"	-0.487580317406087	4.01892947071208e-09	2.37116838772013e-07	"enhancer"	"Ancestry"	"Lung"
"GNLY"	"cg11938080"	-0.427843438291586	3.8272842692716e-07	1.90353232713206e-05	"gene_body"	"Ancestry"	"Lung"
"ARHGAP40"	"cg17473093"	0.274663180785956	0.00156448965386936	0.022535490314752	"gene_body"	"Ancestry"	"Lung"
"AQP5"	"cg00606952"	-0.254525485440629	0.00347461703282694	0.0410721547019364	"gene_body"	"Ancestry"	"Lung"
"BHMT2"	"cg03400060"	-0.357920753569383	2.90384447617385e-05	0.000812050906434364	"gene_body"	"Ancestry"	"Lung"
"LINC00865"	"cg09509179"	-0.592405621335584	1.13483405279441e-13	3.32380284796229e-11	"gene_body"	"Ancestry"	"Lung"
"APIP"	"cg03305906"	-0.337693128573681	8.52389560434514e-05	0.00202423322640124	"gene_body"	"Ancestry"	"Lung"
"LMF1"	"cg27084952"	-0.287035409234273	0.000929438154777325	0.0146706525508565	"gene_body"	"Ancestry"	"Lung"
"ENGASE"	"cg01707361"	-0.256555380542363	0.0032148571954101	0.0386957240506896	"gene_body"	"Ancestry"	"Lung"
"LINC00638"	"cg11135612"	0.281086305782831	0.001197418754337	0.0180365476367563	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg07918620"	-0.604782480337281	2.53760812728092e-14	9.55590717644644e-12	"gene_body"	"Ancestry"	"Lung"
"BTBD16"	"cg03012946"	0.560409160691274	4.11471977676857e-12	8.34338563966305e-10	"gene_body"	"Ancestry"	"Lung"
"GPRC5B"	"cg09795160"	-0.26946301337839	0.00193368638976221	0.0260748015189088	"gene_body"	"Ancestry"	"Lung"
"PTPRN2"	"cg20083900"	0.306130517363969	0.000396883072458403	0.0076825012044433	"gene_body"	"Ancestry"	"Lung"
"ENGASE"	"cg21022002"	-0.350816111268064	4.2744340742175e-05	0.00109392312812013	"gene_body"	"Ancestry"	"Lung"
"IFI27"	"cg10806720"	-0.296776980002377	0.000606523121811582	0.0104496401901656	"gene_body"	"Ancestry"	"Lung"
"ADARB2"	"cg17221993"	0.252073585025762	0.00381345450173498	0.0440888862569009	"gene_body"	"Ancestry"	"Lung"
"ADI1"	"cg01109252"	-0.352771624739029	3.84646815344845e-05	0.000994048044361776	"gene_body"	"Ancestry"	"Lung"
"ATP6V0E2"	"cg19918854"	-0.328563952804848	0.000135335565300401	0.00304909871907569	"gene_body"	"Ancestry"	"Lung"
"GSTM3"	"cg04545003"	-0.467307827912635	2.08203395305694e-08	1.77040048395422e-06	"gene_body"	"Ancestry"	"Lung"
"IFI27"	"cg12268280"	-0.383792115708952	6.55985747208406e-06	0.000220453237708937	"gene_body"	"Ancestry"	"Lung"
"BHMT2"	"cg01902605"	-0.443223010834802	1.28548100160362e-07	8.26470224445645e-06	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg09421831"	0.319102024112485	0.000215253947042104	0.00461308458864217	"gene_body"	"Ancestry"	"Lung"
"APIP"	"cg07253191"	-0.248996342212085	0.00428054542999383	0.0474260458133592	"gene_body"	"Ancestry"	"Lung"
"SULT1A1"	"cg26603685"	-0.49404842202142	2.32396175615463e-09	2.45038527568944e-07	"gene_body"	"Ancestry"	"Lung"
"CAND2"	"cg15335990"	0.299185308185111	0.000544514161872992	0.00956892887131472	"gene_body"	"Ancestry"	"Lung"
"C21orf2"	"cg08493621"	0.24940920085464	0.00421503597536009	0.047239141719141	"gene_body"	"Ancestry"	"Lung"
"SPATC1L"	"cg25726756"	0.589925809582806	1.52038352405701e-13	3.64339179037662e-11	"gene_body"	"Ancestry"	"Lung"
"PTPRN2"	"cg04802449"	0.300182821566896	0.000520583917887181	0.00933509665000415	"gene_body"	"Ancestry"	"Lung"
"PRSS21"	"cg01232511"	-0.46832595936694	1.92179074922651e-08	1.68861347165369e-06	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg09926867"	0.407478481328977	1.49725675850273e-06	6.07195202371261e-05	"gene_body"	"Ancestry"	"Lung"
"PRSS21"	"cg07798610"	-0.449764838217304	7.94927495027169e-08	5.37289455613235e-06	"gene_body"	"Ancestry"	"Lung"
"CBX8"	"cg04986373"	-0.35341587142967	3.71451223180789e-05	0.000979145424304561	"gene_body"	"Ancestry"	"Lung"
"MCFD2"	"cg17223643"	-0.2899644379519	0.000818781325530973	0.0134671862435978	"gene_body"	"Ancestry"	"Lung"
"D2HGDH"	"cg01655501"	0.323936637505655	0.000170136829539926	0.00376874523249785	"gene_body"	"Ancestry"	"Lung"
"LY75"	"cg23995753"	-0.479774467595707	7.66811975117726e-09	7.21898702289402e-07	"gene_body"	"Ancestry"	"Lung"
"SLC6A3"	"cg00232679"	0.375037193056562	1.1008849298023e-05	0.000341403844112808	"gene_body"	"Ancestry"	"Lung"
"DPYSL4"	"cg09308536"	0.359987046631015	2.59051327223025e-05	0.000734257310279457	"gene_body"	"Ancestry"	"Lung"
"GSTT2B"	"cg00087182"	0.357779050618864	2.92658710589016e-05	0.000812050906434364	"gene_body"	"Ancestry"	"Lung"
"C21orf33"	"cg11465630"	-0.283899153837469	0.00106297178900482	0.0164823155048041	"gene_body"	"Ancestry"	"Lung"
"GNLY"	"cg24620635"	-0.460502025347921	3.53264605004452e-08	2.73883970232863e-06	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg02847625"	0.272165955864427	0.00173293249351409	0.0242979258133145	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg12402033"	0.292095102979794	0.00074602369085806	0.0125255952172092	"gene_body"	"Ancestry"	"Lung"
"PRSS21"	"cg07280731"	-0.55053229169163	1.15559756175997e-11	2.17582512342807e-09	"gene_body"	"Ancestry"	"Lung"
"LRRFIP1"	"cg05467445"	0.251209960801577	0.00393968927188594	0.0449568005224734	"gene_body"	"Ancestry"	"Lung"
"LMF1"	"cg16661393"	0.287807734808817	0.000899002697860418	0.0142757295877112	"gene_body"	"Ancestry"	"Lung"
"ADARB2"	"cg07162000"	-0.34936103792111	4.62141598062905e-05	0.00115539814497265	"gene_body"	"Ancestry"	"Lung"
"TRIM66"	"cg15226811"	0.387310605579951	5.30511349141591e-06	0.000184003673202268	"gene_body"	"Ancestry"	"Lung"
"IFI27"	"cg01835013"	-0.301355637297568	0.000493688689446638	0.00908607369170216	"gene_body"	"Ancestry"	"Lung"
"ASPG"	"cg20965743"	-0.419767486455779	6.64478107530767e-07	3.01993843353638e-05	"gene_body"	"Ancestry"	"Lung"
"LY75"	"cg06573604"	-0.442754317705183	1.33000577232717e-07	8.34736956155815e-06	"gene_body"	"Ancestry"	"Lung"
"MYOM2"	"cg05372302"	-0.260909292298074	0.00271577265796187	0.0345834624463163	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg01180090"	0.298864750945757	0.000552416710649408	0.00964351290908503	"gene_body"	"Ancestry"	"Lung"
"SLC6A3"	"cg24712501"	0.365789957488656	1.87191022770348e-05	0.000564344107825947	"gene_body"	"Ancestry"	"Lung"
"ASPG"	"cg05723902"	0.348399953866531	4.86488871233095e-05	0.00119849034072003	"gene_body"	"Ancestry"	"Lung"
"HPR"	"cg00206645"	0.406027584961965	1.64449892381563e-06	6.46999875101195e-05	"gene_body"	"Ancestry"	"Lung"
"ARHGAP40"	"cg25164391"	0.454629467957432	5.52389617018123e-08	3.93540278502641e-06	"gene_body"	"Ancestry"	"Lung"
"STX2"	"cg08650362"	0.489747019495117	3.34945664616941e-09	3.3958337381933e-07	"gene_body"	"Ancestry"	"Lung"
"PLA2G4C"	"cg23522194"	0.305172721692445	0.000414768338420292	0.00786567870558193	"gene_body"	"Ancestry"	"Lung"
"MXRA7"	"cg14042121"	-0.397881118656331	2.76209399846778e-06	0.000106616740444783	"gene_body"	"Ancestry"	"Lung"
"JAK1"	"cg03850163"	-0.259032020672343	0.00292168538100709	0.0359886105810032	"gene_body"	"Ancestry"	"Lung"
"BHMT2"	"cg23911707"	-0.260260576027696	0.00278539771472903	0.0349633732191701	"gene_body"	"Ancestry"	"Lung"
"LINC01252"	"cg19130626"	0.619776034577922	3.78176273846892e-15	1.99374531572082e-12	"gene_body"	"Ancestry"	"Lung"
"BEGAIN"	"cg01991752"	-0.3145464399068	0.000267699938534843	0.00555635462974682	"gene_body"	"Ancestry"	"Lung"
"HEBP2"	"cg17388039"	-0.249823286840892	0.00415023585672608	0.0467522295655126	"gene_body"	"Ancestry"	"Lung"
"MXRA7"	"cg24706269"	0.391111412296052	4.20626965619538e-06	0.000147836357516414	"gene_body"	"Ancestry"	"Lung"
"STX2"	"cg01666255"	-0.436417701781483	2.09708398047291e-07	1.20172029837535e-05	"gene_body"	"Ancestry"	"Lung"
"HPR"	"cg04702007"	-0.512659816549533	4.50238134186335e-10	5.16012052919643e-08	"gene_body"	"Ancestry"	"Lung"
"MORC3"	"cg08211538"	-0.248321031399252	0.00438966741566782	0.04841490923724	"gene_body"	"Ancestry"	"Lung"
"HLA-A"	"cg17608381"	-0.386929553088745	5.42914305025895e-06	0.000185860014032241	"gene_body"	"Ancestry"	"Lung"
"PRSS21"	"cg22730830"	-0.453421094512028	6.04983078546651e-08	4.19667209223414e-06	"gene_body"	"Ancestry"	"Lung"
"TFAP2E"	"cg03331282"	0.278833359553104	0.00131610779059002	0.0194902254831196	"gene_body"	"Ancestry"	"Lung"
"TRIM66"	"cg06388706"	0.271446886231013	0.00178440249379688	0.0248872220827967	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg18895867"	0.288526438848359	0.000871503081593867	0.0140078178236673	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg02127209"	0.265560113836549	0.0022608948576293	0.02992474387402	"gene_body"	"Ancestry"	"Lung"
"CCDC88C"	"cg05014668"	-0.367163608859716	1.73174318724586e-05	0.000530799423439545	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg15761414"	-0.590163005195397	1.47859869181312e-13	3.64339179037662e-11	"gene_body"	"Ancestry"	"Lung"
"ARHGEF19"	"cg03887218"	0.258494009540158	0.00298323992626834	0.0364065761372377	"gene_body"	"Ancestry"	"Lung"
"BEGAIN"	"cg18516195"	-0.317350777980328	0.000234170699592948	0.00497801583973396	"gene_body"	"Ancestry"	"Lung"
"SLC6A3"	"cg06033040"	0.299499214189654	0.000536876561816951	0.00955643339951547	"gene_body"	"Ancestry"	"Lung"
"PRSS45"	"cg16289349"	0.311292350271613	0.000312157147455533	0.00637865302862624	"gene_body"	"Ancestry"	"Lung"
"RCBTB1"	"cg10196532"	-0.35043736536035	4.36232111648271e-05	0.00110568062144696	"gene_body"	"Ancestry"	"Lung"
"APIP"	"cg22717608"	-0.43105410872452	3.06123704811299e-07	1.61388417176517e-05	"gene_body"	"Ancestry"	"Lung"
"BTNL8"	"cg04841205"	-0.257159392079367	0.00314101348531971	0.0379803281986364	"gene_body"	"Ancestry"	"Lung"
"MXRA7"	"cg12472603"	-0.414427948039917	9.49510749649805e-07	4.1031316984867e-05	"gene_body"	"Ancestry"	"Lung"
"USP2"	"cg15648239"	-0.280070638537862	0.0012496606838863	0.0186107658910977	"gene_body"	"Ancestry"	"Lung"
"PIGZ"	"cg23243608"	0.292754530315145	0.000724738293134446	0.0122462188506564	"gene_body"	"Ancestry"	"Lung"
"SGK1"	"cg05966641"	-0.272806147635461	0.00168824764474842	0.0239224020188214	"gene_body"	"Ancestry"	"Lung"
"SULT1A1"	"cg14944435"	-0.409219399838522	1.3370962007953e-06	5.50716497702564e-05	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg03917584"	0.26469586596886	0.00233980979599031	0.0305333595159924	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg26202884"	-0.325451664071254	0.000157918469898453	0.0035277380224773	"gene_body"	"Ancestry"	"Lung"
"SLC6A3"	"cg02929434"	0.259220595602587	0.00290038290042857	0.0358939404954446	"gene_body"	"Ancestry"	"Lung"
"D2HGDH"	"cg04935940"	-0.289859132838851	0.0008225405861985	0.0134671862435978	"gene_body"	"Ancestry"	"Lung"
"MYOM2"	"cg21816685"	0.27011284359668	0.00188358398879948	0.0255934401777084	"gene_body"	"Ancestry"	"Lung"
"BEGAIN"	"cg19547697"	0.447006801311961	9.74687280522313e-08	6.42318917864204e-06	"gene_body"	"Ancestry"	"Lung"
"BEGAIN"	"cg17965730"	-0.379551944636663	8.44502180031114e-06	0.000274828116859508	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg22266001"	0.42884730365445	3.57002790462223e-07	1.84521442285965e-05	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg22139335"	0.352950649355214	3.80936547742604e-05	0.000994048044361776	"gene_body"	"Ancestry"	"Lung"
"PLA2G4C"	"cg14780446"	0.349261312432134	4.64613821574739e-05	0.00115539814497265	"gene_body"	"Ancestry"	"Lung"
"GNLY"	"cg05065849"	-0.458195433868283	4.21493682979564e-08	3.17444956666895e-06	"gene_body"	"Ancestry"	"Lung"
"THEM6"	"cg01702356"	-0.259307948617268	0.00289056257582781	0.0358939404954446	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg14952359"	0.285863980136335	0.000977405279568393	0.0153359542675136	"gene_body"	"Ancestry"	"Lung"
"PLA2G4C"	"cg17828850"	0.305460771462989	0.000409312777751481	0.00781846726197756	"gene_body"	"Ancestry"	"Lung"
"AQP5"	"cg27391744"	-0.289960798732216	0.000818910977897912	0.0134671862435978	"gene_body"	"Ancestry"	"Lung"
"IGF2BP2"	"cg08501881"	-0.263316054889081	0.00247097859342141	0.0320862047894524	"gene_body"	"Ancestry"	"Lung"
"PTPRN2"	"cg18407955"	0.29566934057584	0.000637167995790461	0.010906330109764	"gene_body"	"Ancestry"	"Lung"
"MXRA7"	"cg22195176"	-0.470139332976838	1.66523502523569e-08	1.51364121604182e-06	"gene_body"	"Ancestry"	"Lung"
"KNSTRN"	"cg01685353"	-0.488375570664499	3.75948823657067e-09	3.67037444133344e-07	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg04169912"	0.299363033426963	0.000540177760443022	0.00955643339951547	"gene_body"	"Ancestry"	"Lung"
"PRTFDC1"	"cg23322489"	-0.315447830941795	0.000256466328593802	0.00536543842994653	"gene_body"	"Ancestry"	"Lung"
"DPYSL4"	"cg14868466"	0.306347036917951	0.000392939872923671	0.0076825012044433	"gene_body"	"Ancestry"	"Lung"
"APIP"	"cg16029975"	-0.309435613949839	0.00034049075839161	0.00685140182534567	"gene_body"	"Ancestry"	"Lung"
"HPR"	"cg17456508"	-0.375436550051091	1.07553837647664e-05	0.000337514185761004	"gene_body"	"Ancestry"	"Lung"
"NPHP3"	"cg03420443"	-0.28922118030512	0.000845655021040877	0.0137601644164429	"gene_body"	"Ancestry"	"Lung"
"STIM2"	"cg27025079"	-0.254755801158102	0.00344422357241635	0.040896276292295	"gene_body"	"Ancestry"	"Lung"
"GYPC"	"cg13901526"	-0.276628276443707	0.00144256887407786	0.021125619733718	"gene_body"	"Ancestry"	"Lung"
"LINC00865"	"cg14423021"	-0.599898187727333	4.61825671460711e-14	1.52171558746304e-11	"gene_body"	"Ancestry"	"Lung"
"DPYSL4"	"cg08204808"	0.434161718041568	2.4607021462307e-07	1.33389289615972e-05	"gene_body"	"Ancestry"	"Lung"
"PTPRN2"	"cg15440763"	-0.316220324155289	0.0002471883674328	0.00521270829242288	"gene_body"	"Ancestry"	"Lung"
"ATP6V0E2"	"cg05981578"	-0.414718458411646	9.31395690846648e-07	4.1031316984867e-05	"gene_body"	"Ancestry"	"Lung"
"GSTM3"	"cg00297950"	-0.437476705730409	1.94466137450141e-07	1.13913941848571e-05	"gene_body"	"Ancestry"	"Lung"
