Gene	Aliases	Location	Status	Expressed Allele
LRRTM1	 	 	Imprinted	Paternal
NDUFA4P1	NDUFA4 	1p13.3 	Predicted	Paternal
GFI1	GFI-1, ZNF163, FLJ94509 	1p22 AS 	Predicted	Paternal
DIRAS3	ARHI, NOEY2 	1p31 AS 	Imprinted	Paternal
FUCA1	FUCA 	1p34 AS 	Predicted	Paternal
RNU5D-1	U5DL, U5DS, RNU5D 	1p34.1 AS 	Imprinted	Paternal
BMP8B	OP2, BMP8, MGC131757 	1p35-p32 AS 	Predicted	Paternal
DVL1	DVL, MGC54245 	1p36 AS 	Predicted	Maternal
WDR8	FLJ20430, MGC99569 	1p36.3 AS 	Predicted	Maternal
TP73	P73 	1p36.3 	Imprinted	Maternal
RPL22	EAP, HBP15, HBP15/L22 	1p36.3-p36.2 AS 	Predicted	Paternal
PRDM16	MEL1, PFM13, KIAA1675, MGC166915 	1p36.23-p33 	Predicted	Paternal
PEX10	NALD, RNF69, MGC1998 	1p36.32 AS 	Predicted	Maternal
TMEM52	 	1p36.33 AS 	Predicted	Paternal
HSPA6	 	1q23 	Predicted	Maternal
PTPN14	PEZ, PTP36, MGC126803 	1q32.2 AS 	Predicted	Maternal
OBSCN	UNC89, FLJ14124, KIAA1556, KIAA1639, MGC120409, MGC120410, MGC120411, MGC120412, MGC138590, DKFZp666E245 	1q42.13 	Predicted	Paternal
HIST3H2BB	 	1q42.13 	Predicted	Maternal
OR11L1	 	1q44 AS 	Predicted	Paternal
OTX1	FLJ38361, MGC15736 	2p13 	Predicted	Maternal
VAX2	DRES93 	2p13 	Predicted	Maternal
COMMD1	MURR1, C2orf5, MGC27155 	2p15 	Not Imprinted	Biallelic
CCDC85A	KIAA1912 	2p16.1 	Predicted	Paternal
CYP1B1	CP1B, GLC3A, P4501B1 	2p21 AS 	Predicted	Paternal
ABCG8	GBD4, STSL, MGC142217 	2p21 	Predicted	Maternal
ZFP36L2	BRF2, ERF2, ERF-2, TIS11D, RNF162C 	2p22.3-p21 AS 	Predicted	Maternal
ZDBF2	Slx9 	2q33.3 AS 	Imprinted	Paternal
GPR1	 	2q33.3 AS 	Imprinted	Paternal
TIGD1	EEYORE 	2q37.1 AS 	Predicted	Paternal
MYEOV2	 	2q37.3 AS 	Predicted	Paternal
ALDH1L1	FTHFD, DKFZp781N0997 	3q21.3 AS 	Predicted	Maternal
ZIC1	ZIC, ZNF201 	3q24 	Predicted	Maternal
