p.val	cor	gene	probe	p.adj	class	Trait	Tissue
2.76048397502311e-05	-0.386705359745297	DHRS4	cg26338427	9.38564551507859e-05	promoter	Ancestry	Ovary
6.05242357343069e-05	0.371192924422131	STX1B	cg13243185	0.000134796809742314	promoter	Ancestry	Ovary
7.25708798796889e-05	0.367491474663364	PRH1	cg26983578	0.000137078328661635	promoter	Ancestry	Ovary
0.00012442062444662	0.356225058917685	STX1B	cg04374711	0.000211515061559254	promoter	Ancestry	Ovary
0.0198404507378634	0.220854837465004	TOP1MT	cg07150404	0.0281073052119731	promoter	Ancestry	Ovary
6.34337928199125e-05	-0.370239784938572	CAMK1D	cg00115178	0.000134796809742314	promoter	Ancestry	Ovary
0.0260085638704021	-0.211290874489767	CDC25B	cg27424117	0.034011198907449	promoter	Ancestry	Ovary
7.11025225700959e-16	-0.671656029130085	ADAL	cg02155558	6.04371441845815e-15	promoter	Ancestry	Ovary
3.39717301374428e-08	0.494764645013231	STX1B	cg04018474	1.44379853084132e-07	promoter	Ancestry	Ovary
4.56996432841688e-05	0.376835008296562	STX1B	cg04586407	0.000129482322638478	promoter	Ancestry	Ovary
0.0137293063668483	-0.233301778710686	TOP1MT	cg03501124	0.0212180189305837	promoter	Ancestry	Ovary
8.45526827299682e-10	-0.541458036340634	DHRS4	cg05171021	4.79131868803153e-09	promoter	Ancestry	Ovary
6.39446833471554e-18	-0.704381415408656	ARL17A	cg17911788	1.08705961690164e-16	promoter	Ancestry	Ovary
8.72756697013867e-11	0.566992576649407	GSTO2	cg07488549	2.6182700910416e-10	enhancer	Ancestry	Ovary
0.000992025720099583	-0.308374273028025	BOK	cg24828208	0.000992025720099583	enhancer	Ancestry	Ovary
9.82934870920654e-06	-0.405990004005055	D2HGDH	cg00263240	1.47440230638098e-05	enhancer	Ancestry	Ovary
0.0264685120655012	-0.210658524400619	TOP1MT	cg17117981	0.0406647925426302	gene_body	Ancestry	Ovary
1.29456250546226e-11	-0.586884821939104	STX1B	cg02808577	8.47350003575298e-11	gene_body	Ancestry	Ovary
2.09814244581268e-12	-0.604673518244137	GSTO2	cg23487032	1.51066256098513e-11	gene_body	Ancestry	Ovary
0.0001523828479499	-0.351877429986345	LINC00665	cg16396593	0.000522455478685373	gene_body	Ancestry	Ovary
1.59481042037676e-09	-0.533921886099424	GSTO2	cg17733466	9.56886252226053e-09	gene_body	Ancestry	Ovary
0.000796422420095117	0.313821302859963	NRXN2	cg19395706	0.00190506608773104	gene_body	Ancestry	Ovary
9.78039164360892e-08	-0.479995299832804	LINC00664	cg10831725	5.02991570242745e-07	gene_body	Ancestry	Ovary
5.12188011141874e-19	-0.720256586375892	ANKRD65	cg00060374	1.2292512267405e-17	gene_body	Ancestry	Ovary
