"","X","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","M_AVG","F_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","t_Pvals","t_Padj","FDR","Higher_Met_In"
"1",32,"cg17612569",0.196061652711306,0.17033252754379,162.796143494838,0,0,3039.55696675603,0.276664351292462,0.0806026985811559,-0.196061652711306,21,27107221,"F","I","GABPA","TSS200","island","TSS200-island","chr21:27106814-27108211","rs531270659;rs71649640","28;30",0,0,0,"Male"
"2",87,"cg04946709",0.16147588894292,0.604963839889254,96.8143947963626,0,0,1930.87612435332,0.69253846514257,0.531062576199653,-0.161475888942917,16,59789030,"R","II","LOC644649","Body","island","Body-island","chr16:59788792-59789072","","",0,0,0,"Male"
"3",92,"cg19869442",0.135701539025532,0.590841914034647,91.7462256798135,0,0,1826.62154538365,0.664438111610991,0.528736572585464,-0.135701539025528,10,120880365,"R","II","FAM45A","Body","opensea","Body-opensea","","rs113259304;rs547018079","39;2",0,0,0,"Male"
"4",155,"cg13628106",0.0708204177941419,0.815482992357853,72.4084500630446,0,0,1399.56914040884,0.853891646363142,0.783071228569003,-0.0708204177941388,19,42482519,"F","I","ATP1A3","Body","opensea","Body-opensea","","rs373225832;rs573067913;rs187770218","0;23;33",0,0,0,"Male"
"5",163,"cg15817705",0.0942249811258883,0.592878826416811,69.6365301782838,0,0,1334.66543885523,0.643980681100002,0.549755699974118,-0.0942249811258842,1,209406063,"F","II","","IGR","shore","IGR-shore","chr1:209404845-209405473","","",0,0,0,"Male"
"6",257,"cg05503222",0.0666965927931988,0.676664369850997,53.9646300988669,0,0,953.972464072328,0.712836513926338,0.646139921133144,-0.0666965927931945,3,182791787,"F","II","MCCC1","Body","opensea","Body-opensea","","rs538517880;rs554039211;rs533794482","0;11;12",0,0,0,"Male"
"7",278,"cg19633027",0.0993996193629175,0.574970368351415,51.381427031506,0,0,889.738605862623,0.628878629659125,0.529479010296211,-0.0993996193629142,1,56279464,"R","II","","IGR","opensea","IGR-opensea","","rs188375954;rs544443416;rs191678547","22;9;1",0,0,0,"Male"
"8",334,"cg23006552",0.0695063856940638,0.616778705127259,44.7907503985743,1.45255299877326e-321,3.68149557539084e-318,725.813609180921,0.654474708658916,0.584968322964857,-0.069506385694059,4,47495417,"R","II","ATP10D","5'UTR","opensea","5'UTR-opensea","","rs563384003","1",1.55037799664983e-320,3.97706244296503e-317,4.42253969693167e-318,"Male"
"9",356,"cg12728170",0.0755744379587315,0.568700795565411,42.9048601919078,2.52527747797142e-301,6.00479063619325e-298,679.222064357685,0.609687738732544,0.534113300773815,-0.0755744379587289,15,44168437,"F","II","PIN4P1","Body","opensea","Body-opensea","","rs554735603;rs139491002;rs12442297;rs560093841","0;1;33;36",4.67473451855242e-291,1.06378233571198e-287,6.32451671329751e-298,"Male"
"10",404,"cg12052203",0.0987290381723613,0.110995755242144,39.8285191520344,1.30761942056907e-268,2.73992553158017e-265,603.916344575249,0.164540334412235,0.0658112962398746,-0.0987290381723606,11,66115045,"R","I","B3GNT1","1stExon","island","1stExon-island","chr11:66114497-66115525","rs185880727","10",6.35653351313375e-197,1.00390892148107e-193,2.70726037849498e-265,"Male"
"11",420,"cg00329052",0.0678009778707477,0.725272469441341,38.1347265189637,8.08160456344057e-251,1.62887241425176e-247,562.965471106817,0.762043564294627,0.694242586423883,-0.0678009778707441,4,169935001,"F","II","","IGR","shelf","IGR-shelf","chr4:169930790-169931607","rs143702317","0",3.24880583886542e-261,6.72417815436155e-258,1.56861924175241e-247,"Male"
"12",499,"cg25294185",0.0798123576467038,0.167309312498303,34.0645385717031,5.57869182068133e-209,9.46390969162049e-206,466.67165197773,0.210594643560729,0.130782285914026,-0.079812357646703,11,65487814,"R","I","RNASEH2C","Body","island","Body-island","chr11:65487660-65488348","rs148186114;rs141875736","47;25",2.47033735071253e-217,4.32065575441576e-214,8.41017581098792e-206,"Male"
"13",540,"cg03894796",0.104194971673325,0.44165771867648,32.7104656645054,2.01119946183044e-195,3.1528270407909e-192,435.473807904596,0.498166685168665,0.393971713495343,-0.104194971673322,8,144361315,"R","II","","IGR","island","IGR-island","chr8:144360666-144361504","rs547483172;rs559054456","36;27",5.40511452447172e-191,8.18524823363036e-188,2.6691882908898e-192,"Male"
"14",542,"cg08799779",0.143534088677717,0.528367370940449,32.6461388453968,8.75405064219161e-195,1.36725188409224e-191,434.003932046634,0.606211463388644,0.462677374710931,-0.143534088677713,8,144371965,"R","II","","IGR","island","IGR-island","chr8:144371446-144372076","","",2.46503282441352e-197,3.9003868815346e-194,1.15195887764257e-191,"Male"
"15",570,"cg11388673",0.137908955286795,0.615635852545026,31.7094078442194,1.53393703562822e-185,2.27809294949317e-182,412.733526912705,0.690429217408224,0.552520262121435,-0.137908955286789,8,144371779,"R","I","","IGR","island","IGR-island","chr8:144371446-144372076","","",4.96392901929893e-192,7.59869816492585e-189,1.8182188932693e-182,"Male"
"17",603,"cg03151810",0.129284337986297,0.340145430844796,31.0039240742277,1.18160225128591e-178,1.65879516179984e-175,396.887440140097,0.410261331889783,0.280976993903488,-0.129284337986295,8,144371745,"R","I","","IGR","island","IGR-island","chr8:144371446-144372076","rs28529670;rs554886225","20;18",3.47473072172287e-178,4.8538605193812e-175,1.2566906464053e-175,"Male"
"18",610,"cg02530860",0.0992285354260693,0.532862208572294,30.8615738830977,2.84349935124753e-177,3.9460452480592e-174,393.708992271808,0.586677684438447,0.487449149012381,-0.0992285354260656,8,144371537,"F","II","","IGR","island","IGR-island","chr8:144371446-144372076","rs186848198;rs191582006;rs550165145","6;39;51",4.06861720651315e-177,5.6277419011587e-174,2.92405888915903e-174,"Male"
"19",705,"cg06415891",0.0637820610213546,0.64679077912514,28.3516658449967,2.08290895338939e-153,2.5010359375178e-150,338.803168820655,0.681382259800026,0.617600198778674,-0.0637820610213514,1,2467096,"R","II","","IGR","island","IGR-island","chr1:2466934-2467212","rs559626661;rs528290682;rs367982226;rs571317792;rs539228514","47;43;39;34;1",2.37898613617082e-156,2.8893349798418e-153,1.66716462095051e-150,"Male"
"20",741,"cg10059324",0.0500942813906332,0.521586166901548,27.3633633530723,2.73594726064192e-144,3.12556313484532e-141,317.82736717069,0.54875423483316,0.49865995344253,-0.0500942813906307,1,7884824,"F","II","PER3","Body","shelf","Body-shelf","chr1:7887198-7887476","rs140192516;rs185868152","34;47",2.66860946631002e-145,3.0363431333994e-142,2.06229329484445e-141,"Male"
"21",771,"cg07787354",0.0678001694710231,0.447247414461315,26.9322417076012,2.29571514750866e-140,2.52059101662059e-137,308.801743266745,0.484018070888138,0.416217901417118,-0.0678001694710205,1,52263983,"F","II","NRD1","Body","opensea","Body-opensea","","rs201056194;rs140738363;rs34957144","22;30;47",6.97290961110259e-140,7.67584962642314e-137,1.59140203872701e-137,"Male"
"22",861,"cg15069499",0.0757266998819324,0.695709326109732,25.515818975812,1.0172466429544e-127,1.00014248540498e-124,279.714791327741,0.736778846811826,0.661052146929898,-0.0757266998819276,20,29637039,"F","II","","IGR","opensea","IGR-opensea","","rs62196407;rs113447285;rs66498153;rs80191642;rs549440145","9;14;25;28;38",2.36975979070132e-134,2.46747376052134e-131,5.93819639942379e-125,"Male"
"23",869,"cg25910261",0.0982491264964002,0.274971160522073,25.3977477478782,1.1065180284628e-126,1.07789753855974e-123,277.330975057272,0.328255465013063,0.230006338516665,-0.0982491264963987,7,157405965,"F","II","PTPRN2","Body","island","Body-island","chr7:157405009-157406608","","",9.82594010578888e-122,9.17076548640873e-119,6.36362616383875e-124,"Male"
"24",912,"cg07645761",0.0778288703411082,0.567362618228244,24.7543011869201,4.39311452536311e-121,4.07771106069512e-118,264.455424102047,0.60957222734469,0.531743357003586,-0.0778288703411042,16,2892518,"F","I","TMPRSS8","Body","shore","Body-shore","chr16:2892579-2892810","rs145428535","16",1.74132031551572e-121,1.61807650653272e-118,2.34417194937915e-118,"Male"
