"chr","start","end","strand","feature","ensembl.id","gene.name","biotype","source"
"chr1",29570,31109,"+","gene","ENSG00000243485.5","MIR1302-2HG","lincRNA","HAVANA"
"chr1",34553,36081,"-","gene","ENSG00000237613.2","FAM138A","lincRNA","HAVANA"
"chr1",69090,70008,"+","gene","ENSG00000186092.4","OR4F5","protein_coding","HAVANA"
"chr1",89294,129223,"-","gene","ENSG00000238009.6","RP11-34P13.7","lincRNA","HAVANA"
"chr1",160445,161525,"+","gene","ENSG00000241599.1","RP11-34P13.9","lincRNA","HAVANA"
"chr1",257863,297502,"-","gene","ENSG00000228463.9","AP006222.2","lincRNA","HAVANA"
"chr1",357382,359681,"-","gene","ENSG00000236743.1","RP5-857K21.15","lincRNA","HAVANA"
"chr1",358856,366018,"+","gene","ENSG00000236601.2","RP4-669L17.2","lincRNA","HAVANA"
"chr1",366052,501617,"-","gene","ENSG00000237094.11","RP4-669L17.10","lincRNA","HAVANA"
"chr1",450739,451678,"-","gene","ENSG00000278566.1","OR4F29","protein_coding","HAVANA"
"chr1",585988,827796,"-","gene","ENSG00000230021.8","RP5-857K21.4","lincRNA","HAVANA"
"chr1",587628,594768,"+","gene","ENSG00000235146.2","RP5-857K21.2","lincRNA","HAVANA"
"chr1",685715,686654,"-","gene","ENSG00000273547.1","OR4F16","protein_coding","HAVANA"
"chr1",778769,810060,"+","gene","ENSG00000237491.8","RP11-206L10.9","lincRNA","HAVANA"
"chr1",817370,819837,"+","gene","ENSG00000177757.2","FAM87B","lincRNA","HAVANA"
"chr1",826205,827522,"-","gene","ENSG00000225880.5","LINC00115","lincRNA","HAVANA"
"chr1",868070,876754,"-","gene","ENSG00000230368.2","FAM41C","lincRNA","HAVANA"
"chr1",904833,915976,"+","gene","ENSG00000272438.1","RP11-54O7.16","lincRNA","HAVANA"
"chr1",911434,914802,"+","gene","ENSG00000230699.2","RP11-54O7.1","lincRNA","HAVANA"
"chr1",914948,914971,"+","gene","ENSG00000241180.1","RP11-54O7.2","lincRNA","HAVANA"
"chr1",916869,919692,"-","gene","ENSG00000223764.2","RP11-54O7.3","lincRNA","HAVANA"
"chr1",923927,944203,"+","gene","ENSG00000187634.11","SAMD11","protein_coding","HAVANA"
"chr1",944581,959309,"-","gene","ENSG00000188976.10","NOC2L","protein_coding","HAVANA"
"chr1",960586,965715,"+","gene","ENSG00000187961.13","KLHL17","protein_coding","HAVANA"
"chr1",966496,975108,"+","gene","ENSG00000187583.10","PLEKHN1","protein_coding","HAVANA"
"chr1",975203,982093,"-","gene","ENSG00000187642.9","PERM1","protein_coding","HAVANA"
"chr1",995965,998051,"-","gene","ENSG00000272512.1","RP11-54O7.17","lincRNA","HAVANA"
"chr1",998961,1000172,"-","gene","ENSG00000188290.10","HES4","protein_coding","HAVANA"
"chr1",1001137,1014541,"+","gene","ENSG00000187608.8","ISG15","protein_coding","HAVANA"
"chr1",1020122,1056118,"+","gene","ENSG00000188157.14","AGRN","protein_coding","HAVANA"
"chr1",1062207,1063288,"-","gene","ENSG00000273443.1","RP11-54O7.18","lincRNA","HAVANA"
"chr1",1070965,1074307,"-","gene","ENSG00000237330.2","RNF223","protein_coding","HAVANA"
"chr1",1081817,1116361,"-","gene","ENSG00000131591.17","C1orf159","protein_coding","HAVANA"
"chr1",1137016,1144056,"+","gene","ENSG00000223823.1","LINC01342","lincRNA","HAVANA"
"chr1",1169356,1170343,"+","gene","ENSG00000272141.1","RP11-465B22.8","lincRNA","HAVANA"
"chr1",1179188,1197935,"+","gene","ENSG00000162571.13","TTLL10","protein_coding","HAVANA"
"chr1",1203507,1206691,"-","gene","ENSG00000186891.13","TNFRSF18","protein_coding","HAVANA"
"chr1",1211325,1214132,"-","gene","ENSG00000186827.10","TNFRSF4","protein_coding","HAVANA"
"chr1",1216907,1232031,"-","gene","ENSG00000078808.16","SDF4","protein_coding","HAVANA"
"chr1",1232264,1235041,"+","gene","ENSG00000176022.4","B3GALT6","protein_coding","HAVANA"
"chr1",1242452,1246722,"-","gene","ENSG00000184163.3","C1QTNF12","protein_coding","HAVANA"
"chr1",1249776,1251334,"-","gene","ENSG00000260179.1","RP5-902P8.12","lincRNA","HAVANA"
"chr1",1253908,1273885,"-","gene","ENSG00000160087.20","UBE2J2","protein_coding","HAVANA"
"chr1",1275222,1280420,"+","gene","ENSG00000230415.1","LINC01786","lincRNA","HAVANA"
"chr1",1280435,1292029,"+","gene","ENSG00000162572.20","SCNN1D","protein_coding","HAVANA"
"chr1",1292375,1308018,"-","gene","ENSG00000131584.18","ACAP3","protein_coding","HAVANA"
